"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort"
"131",1442,"E1","guichenoti","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",4,"C",0,"",1,4,"L",0,1,"","Cold","CORT"
"132",1565,"E1","guichenoti","B_28","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",4,"R",0,"",1,4,"C",0,1,"","Hot","CORT"
"133",1218,"E3","guichenoti","A_28","CL324_22",132,"21/3/2023","13/4/2023",23,"Red",4,"L",NA,"",0,4,"L",1,1,"","Hot","Control"
"134",1443,"E3","guichenoti","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",4,"C",0,"",0,4,"R",0,1,"","Cold","Control"
"135",2164,"E3","guichenoti","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",4,"L",NA,"",0,4,"C",0,1,"","Cold","CORT"
"136",1419,"F2","guichenoti","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",4,"L",0,"",0,4,"L",0,1,"","Hot","Control"
"137",1534,"F2","guichenoti","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",4,"R",0,"",0,4,"C",0,1,"","Cold","Control"
"138",1580,"F2","guichenoti","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",4,"L",NA,"",0,4,"R",1,1,"","Hot","CORT"
"139",1613,"F2","guichenoti","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",4,"R",NA,"",0,4,"R",1,1,"","Cold","CORT"
"140",1340,"F4","guichenoti","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",4,"R",0,"",0,4,"L",1,1,"","Hot","CORT"
"141",1417,"F4","guichenoti","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",4,"L",NA,"",0,4,"C",1,1,"","Hot","CORT"
"142",1467,"F4","guichenoti","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",4,"R",0,"",1,4,"R",0,1,"","Hot","Control"
"143",1421,"G1","guichenoti","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",4,"R",0,"",0,4,"R",0,1,"","Cold","CORT"
"144",1674,"G1","guichenoti","B_23","CL455_22",94,"6/4/2023","13/4/2023",7,"Red",4,"R",NA,"",0,4,"C",0,1,"","Cold","CORT"
"145",2009,"G1","guichenoti","A_28","CL542_22",78,"3/4/2023","13/4/2023",10,"Blue",4,"L",1,"",1,4,"L",0,1,"","Hot","Control"
"146",1360,"G3","guichenoti","A_28","CL366_22",120,"21/3/2023","13/4/2023",23,"Red",4,"L",NA,"",0,4,"C",1,1,"","Hot","Control"
"147",1795,"G3","guichenoti","A_23","CL489_22",66,"5/4/2023","13/4/2023",8,"Blue",4,"R",0,"",1,4,"L",0,1,"","Cold","Control"
"148",2081,"G3","guichenoti","B_23","CL562_22",52,"3/4/2023","13/4/2023",10,"Blue",4,"C",0,"",0,4,"R",0,1,"","Cold","CORT"
"149",1373,"A2","guichenoti","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",5,"L",0,"",1,5,"R",0,1,"","Hot","Control"
"150",1478,"A2","guichenoti","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",5,"L",NA,"",0,5,"L",0,1,"","Cold","CORT"
"151",2298,"A2","guichenoti","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",5,"C",NA,"More than one cricket eaten",1,5,"C",0,1,"","Hot","CORT"
"152",1283,"A4","guichenoti","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",5,"R",NA,"",0,5,"R",0,1,"","Cold","Control"
"153",1562,"A4","guichenoti","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"Blue",5,"L",1,"",1,5,"C",0,1,"","Hot","CORT"
"154",1609,"A4","guichenoti","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"Blue",5,"R",1,"",1,5,"L",1,1,"","Hot","Control"
"155",1276,"B1","guichenoti","A_28","CL341_22",129,"29/3/2023","13/4/2023",15,"Red",5,"C",0,"",1,5,"L",0,1,"","Hot","Control"
"156",1438,"B1","guichenoti","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"Blue",5,"L",NA,"",0,5,"C",1,1,"","Hot","CORT"
"157",1432,"B3","guichenoti","B_23","CL385_22",94,"20/3/2023","13/4/2023",24,"Red",5,"C",0,"",0,5,"L",0,1,"","Cold","CORT"
"158",2047,"B3","guichenoti","A_23","CL552_22",55,"27/3/2023","13/4/2023",17,"Blue",5,"R",1,"",1,5,"C",1,1,"","Cold","Control"
"159",1366,"C1","guichenoti","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"Blue",5,"R",NA,"",0,5,"L",0,0,"","Hot","Control"
"160",1374,"C1","guichenoti","B_23","CL371_22",97,"20/3/2023","13/4/2023",24,"Red",5,"R",NA,"",0,5,"C",0,1,"","Cold","CORT"
"161",1463,"C1","guichenoti","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"Blue",5,"L",1,"",1,5,"R",0,1,"","Hot","CORT"
"162",1611,"C3","guichenoti","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"Blue",5,"R",NA,"More than one cricket eaten",0,5,"R",0,1,"","Hot","CORT"
