"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal"
"116",1360,"G3","guichenoti","Female",NA,"CL366_22",120,"21/3/2023","13/4/2023",23,"Red",2,"R",NA,"",0,2,"C",1,1,""
"117",1366,"C1","guichenoti","Female",NA,"CL368_22",127,"1/4/2023","13/4/2023",12,"Blue",2,"L",NA,"",1,2,"R",0,1,""
"118",1371,"D3","guichenoti","Male","Control Cold","CL370_22",94,"27/3/2023","13/4/2023",17,"Blue",2,"C",NA,"",0,2,"R",0,1,""
"119",1373,"A2","guichenoti","Female",NA,"CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",2,"R",1,"",1,2,"C",0,1,""
"120",1374,"C1","guichenoti","Male","CORT Cold","CL371_22",97,"20/3/2023","13/4/2023",24,"Red",2,"C",NA,"",0,2,"C",0,1,""
"121",1381,"A3","delicata","Male",NA,"CL373_22",122,"30/3/2023","13/4/2023",14,"Red",2,"C",NA,"",0,2,"C",1,1,""
"122",1382,"A1","delicata","Female","Control Hot","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",2,"R",1,"",1,2,"C",0,0,""
"123",1390,"C4","delicata","Male","Control Cold","CL374_22",101,"30/3/2023","13/4/2023",14,"Red",2,"R",0,"",1,2,"R",0,1,""
"124",1399,"B4","delicata","Male","Control Cold","CL377_22",97,"3/4/2023","13/4/2023",10,"Red",2,"R",0,"",1,2,"R",0,1,""
"125",1401,"A3","delicata","Female","Control Hot","CL377_22",115,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",1,2,"L",0,0,""
"126",1402,"E2","delicata","Male",NA,"CL377_22",118,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",0,2,"L",0,1,""
"127",1408,"G2","delicata","Female","Control Hot","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",2,"C",0,"",0,2,"L",0,1,""
"128",1410,"A1","delicata","Female",NA,"CL379_22",120,"28/3/2023","13/4/2023",16,"Red",2,"L",0,"",0,2,"L",0,1,""
"129",1417,"F4","guichenoti","Female","Control Hot","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",2,"C",NA,"",0,2,"C",0,1,""
"130",1419,"F2","guichenoti","Female",NA,"CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",2,"L",0,"",0,2,"R",0,1,""
"131",1421,"G1","guichenoti","Male","CORT Cold","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,""
"132",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",2,"L",NA,"",1,2,"C",1,1,""
"133",1432,"B3","guichenoti","Male","CORT Cold","CL385_22",94,"20/3/2023","13/4/2023",24,"Red",2,"R",0,"",1,2,"R",0,1,""
"134",1438,"B1","guichenoti","Male","Control Hot","CL386_22",113,"21/3/2023","13/4/2023",23,"Blue",2,"C",1,"",1,2,"R",0,1,""
"135",1442,"E1","guichenoti","Male","CORT Cold","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",2,"C",0,"",1,2,"R",0,0,""
"136",1443,"E3","guichenoti","Male","Control Cold","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",2,"R",0,"",1,2,"C",1,1,""
"137",1454,"C4","delicata","Female","Control Hot","CL392_22",115,"28/3/2023","13/4/2023",16,"Red",2,"C",0,"",1,2,"L",1,1,""
"138",1459,"D3","guichenoti","Male","CORT Cold","CL394_22",92,"8/4/2023","13/4/2023",5,"Blue",2,"L",NA,"",0,2,"L",0,1,""
"139",1463,"C1","guichenoti","Female","Control Hot","CL396_22",111,"27/3/2023","13/4/2023",17,"Blue",2,"C",0,"",0,2,"L",0,1,""
"140",1467,"F4","guichenoti","Female",NA,"CL397_22",111,"20/3/2023","13/4/2023",24,"Red",2,"C",1,"",1,2,"R",0,1,""
"141",1478,"A2","guichenoti","Male","CORT Cold","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",2,"R",NA,"",0,2,"R",0,1,""
"142",1479,"D1","guichenoti","Female",NA,"CL400_22",108,"28/3/2023","13/4/2023",16,"Red",2,"C",0,"",0,2,"C",0,1,""
"143",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",2,"L",NA,"",0,2,"C",0,0,""
"144",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",2,"R",0,"",1,2,"C",1,1,""
"145",1534,"F2","guichenoti","Female","Control Cold","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",2,"C",0,"",1,2,"C",0,1,""
"146",1562,"A4","guichenoti","Female","Control Hot","CL423_22",101,"26/3/2023","13/4/2023",18,"Blue",2,"C",0,"",1,2,"L",0,1,""
"147",1565,"E1","guichenoti","Female","Control Hot","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",2,"R",NA,"",0,2,"L",0,1,""
"148",1580,"F2","guichenoti","Female","Control Hot","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,""
"149",1609,"A4","guichenoti","Female",NA,"CL437_22",101,"25/3/2023","13/4/2023",19,"Blue",2,"C",0,"",1,2,"R",1,1,""
"150",1611,"C3","guichenoti","Female","Control Hot","CL438_22",99,"26/3/2023","13/4/2023",18,"Blue",2,"L",NA,"",0,2,"L",0,0,""
"151",1613,"F2","guichenoti","Male","CORT Cold","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",2,"R",0,"",0,2,"R",1,1,""
