"","species","group","trt","Trial","prop_correct"
"404","italic('L. guichenoti')","Blue","CORT-Cold",8,0.666666666666667
"405","italic('L. guichenoti')","Blue","CORT-Cold",9,0.666666666666667
"406","italic('L. guichenoti')","Blue","CORT-Cold",10,0.333333333333333
"407","italic('L. guichenoti')","Blue","CORT-Cold",11,0.666666666666667
"408","italic('L. guichenoti')","Blue","CORT-Cold",12,1
"409","italic('L. guichenoti')","Blue","CORT-Cold",13,1
"410","italic('L. guichenoti')","Blue","CORT-Cold",14,0
"411","italic('L. guichenoti')","Blue","CORT-Cold",15,0.333333333333333
"412","italic('L. guichenoti')","Blue","CORT-Cold",16,0.666666666666667
"413","italic('L. guichenoti')","Blue","CORT-Cold",17,0.333333333333333
"414","italic('L. guichenoti')","Blue","CORT-Cold",18,1
"415","italic('L. guichenoti')","Blue","CORT-Cold",19,0.666666666666667
"416","italic('L. guichenoti')","Blue","CORT-Cold",20,0.666666666666667
"417","italic('L. guichenoti')","Blue","CORT-Cold",21,1
"418","italic('L. guichenoti')","Blue","CORT-Cold",22,0.666666666666667
"419","italic('L. guichenoti')","Blue","CORT-Cold",23,0.666666666666667
"420","italic('L. guichenoti')","Blue","CORT-Cold",24,1
"421","italic('L. guichenoti')","Blue","CORT-Cold",25,0.666666666666667
"422","italic('L. guichenoti')","Blue","CORT-Cold",26,0.666666666666667
"423","italic('L. guichenoti')","Blue","CORT-Cold",27,1
"424","italic('L. guichenoti')","Blue","CORT-Cold",28,1
"425","italic('L. guichenoti')","Blue","CORT-Cold",29,1
"426","italic('L. guichenoti')","Blue","CORT-Cold",30,0.666666666666667
"427","italic('L. guichenoti')","Blue","CORT-Cold",31,0
"428","italic('L. guichenoti')","Blue","CORT-Cold",32,0.666666666666667
"429","italic('L. guichenoti')","Blue","CORT-Cold",33,0.666666666666667
"430","italic('L. guichenoti')","Blue","CORT-Hot",1,0.333333333333333
"431","italic('L. guichenoti')","Blue","CORT-Hot",2,0.333333333333333
"432","italic('L. guichenoti')","Blue","CORT-Hot",3,0.5
"433","italic('L. guichenoti')","Blue","CORT-Hot",4,1
"434","italic('L. guichenoti')","Blue","CORT-Hot",5,1
"435","italic('L. guichenoti')","Blue","CORT-Hot",6,0.5
"436","italic('L. guichenoti')","Blue","CORT-Hot",7,0.6
"437","italic('L. guichenoti')","Blue","CORT-Hot",8,0.5
"438","italic('L. guichenoti')","Blue","CORT-Hot",9,0.4
"439","italic('L. guichenoti')","Blue","CORT-Hot",10,0.8
"440","italic('L. guichenoti')","Blue","CORT-Hot",11,0.6
"441","italic('L. guichenoti')","Blue","CORT-Hot",12,0.8
"442","italic('L. guichenoti')","Blue","CORT-Hot",13,0.8
"443","italic('L. guichenoti')","Blue","CORT-Hot",14,0.6
"444","italic('L. guichenoti')","Blue","CORT-Hot",15,0.6
"445","italic('L. guichenoti')","Blue","CORT-Hot",16,0.8
"446","italic('L. guichenoti')","Blue","CORT-Hot",17,0.8
"447","italic('L. guichenoti')","Blue","CORT-Hot",18,0.4
"448","italic('L. guichenoti')","Blue","CORT-Hot",19,1
"449","italic('L. guichenoti')","Blue","CORT-Hot",20,0.6
"450","italic('L. guichenoti')","Blue","CORT-Hot",21,0.6
"451","italic('L. guichenoti')","Blue","CORT-Hot",22,1
"452","italic('L. guichenoti')","Blue","CORT-Hot",23,0.6
"453","italic('L. guichenoti')","Blue","CORT-Hot",24,1
"454","italic('L. guichenoti')","Blue","CORT-Hot",25,1
"455","italic('L. guichenoti')","Blue","CORT-Hot",26,1
"456","italic('L. guichenoti')","Blue","CORT-Hot",27,1
"457","italic('L. guichenoti')","Blue","CORT-Hot",28,0.8
"458","italic('L. guichenoti')","Blue","CORT-Hot",29,0.8
