"","Trial","Treatment","Group","Species","Mean_Predicted_prob","SE_Predicted_prob"
"249",16,"Control-Cold","Blue","L. delicata",0.745871878075201,0.0553436924393604
"250",16,"Control-Cold","Blue","L. guichenoti",0.672949894372997,0.100106230443736
"251",16,"Control-Cold","Red","L. delicata",0.496702772987946,0.0795690187873452
"252",16,"Control-Cold","Red","L. guichenoti",0.49389062353084,0.0911741159319798
"253",16,"Control-Hot","Blue","L. delicata",0.68826197782162,0.066889532578746
"254",16,"Control-Hot","Blue","L. guichenoti",0.730478032385113,0.0732784651883785
"255",16,"Control-Hot","Red","L. delicata",0.614365683137304,0.0859003633676076
"256",16,"Control-Hot","Red","L. guichenoti",0.56142352685063,0.0802130356037839
"257",17,"CORT-Cold","Blue","L. delicata",0.693352502746191,0.0611367867582901
"258",17,"CORT-Cold","Blue","L. guichenoti",0.626799837318229,0.0858284945837005
"259",17,"CORT-Cold","Red","L. delicata",0.452608299900963,0.0863079177361516
"260",17,"CORT-Cold","Red","L. guichenoti",0.332034848094122,0.0765125649396317
"261",17,"CORT-Hot","Blue","L. delicata",0.674239024174183,0.0619419897556258
"262",17,"CORT-Hot","Blue","L. guichenoti",0.827171939664121,0.0579397185142183
"263",17,"CORT-Hot","Red","L. delicata",0.596886291690138,0.0825399058418801
"264",17,"CORT-Hot","Red","L. guichenoti",0.499576283095216,0.0802955932089946
"265",17,"Control-Cold","Blue","L. delicata",0.744456685269541,0.0552294852024019
"266",17,"Control-Cold","Blue","L. guichenoti",0.675893143750401,0.101023642676392
"267",17,"Control-Cold","Red","L. delicata",0.51043549548938,0.0788206657357993
"268",17,"Control-Cold","Red","L. guichenoti",0.51727285284111,0.0913101541399312
"269",17,"Control-Hot","Blue","L. delicata",0.699294822646526,0.0660944158670201
"270",17,"Control-Hot","Blue","L. guichenoti",0.742276222121152,0.072559790587537
"271",17,"Control-Hot","Red","L. delicata",0.63297800135362,0.0837817341832117
"272",17,"Control-Hot","Red","L. guichenoti",0.579688192116398,0.0797130357263225
"273",18,"CORT-Cold","Blue","L. delicata",0.695850896926857,0.061326187048792
"274",18,"CORT-Cold","Blue","L. guichenoti",0.641995080159024,0.0860421197651932
"275",18,"CORT-Cold","Red","L. delicata",0.476894198288871,0.0860989787530197
"276",18,"CORT-Cold","Red","L. guichenoti",0.357886860684055,0.0789732134134916
"277",18,"CORT-Hot","Blue","L. delicata",0.680969221714486,0.0618926705815928
"278",18,"CORT-Hot","Blue","L. guichenoti",0.840178684070255,0.0560933493598216
"279",18,"CORT-Hot","Red","L. delicata",0.612119613061958,0.0812850898799013
"280",18,"CORT-Hot","Red","L. guichenoti",0.517515531495052,0.0810262271039794
"281",18,"Control-Cold","Blue","L. delicata",0.742978395512257,0.0555128651601875
"282",18,"Control-Cold","Blue","L. guichenoti",0.678731927924352,0.102409219523059
"283",18,"Control-Cold","Red","L. delicata",0.524161488031919,0.078223805543037
"284",18,"Control-Cold","Red","L. guichenoti",0.540553021598251,0.0917876135241418
"285",18,"Control-Hot","Blue","L. delicata",0.710043359119017,0.0656556887639225
"286",18,"Control-Hot","Blue","L. guichenoti",0.753640644064255,0.0721344521929957
"287",18,"Control-Hot","Red","L. delicata",0.651192255222297,0.081785319475722
"288",18,"Control-Hot","Red","L. guichenoti",0.597695853191973,0.0796117620166038
"289",19,"CORT-Cold","Blue","L. delicata",0.698287684094817,0.0619187185936264
"290",19,"CORT-Cold","Blue","L. guichenoti",0.656820873065588,0.0865123601996123
"291",19,"CORT-Cold","Red","L. delicata",0.501314786826005,0.0858545343582757
"292",19,"CORT-Cold","Red","L. guichenoti",0.384635070733947,0.0816704391739091
"293",19,"CORT-Hot","Blue","L. delicata",0.687577864417029,0.062201257070989
"294",19,"CORT-Hot","Blue","L. guichenoti",0.852269060002663,0.0544279324144245
"295",19,"CORT-Hot","Red","L. delicata",0.627121847289786,0.0801751730240658
"296",19,"CORT-Hot","Red","L. guichenoti",0.535377835443505,0.0821449169907516
"297",19,"Control-Cold","Blue","L. delicata",0.741437469996919,0.0561956728285496
"298",19,"Control-Cold","Blue","L. guichenoti",0.681464654451223,0.10422487830682
"299",19,"Control-Cold","Red","L. delicata",0.537853202549591,0.0777856989415983
"300",19,"Control-Cold","Red","L. guichenoti",0.563595377063372,0.0925706056599709
"301",19,"Control-Hot","Blue","L. delicata",0.720496323642207,0.0655370325928896
"302",19,"Control-Hot","Blue","L. guichenoti",0.76456570258832,0.0719569027197938
"303",19,"Control-Hot","Red","L. delicata",0.668954272607691,0.0799179424663024
"304",19,"Control-Hot","Red","L. guichenoti",0.615382325497878,0.0798769653506876
